"Celsius, Fahrenheit"
-248
"-99,-145.2"
"-98,-144.4"
"-97,-142.6"
"-96,-140.8"
"-95,-139"
"-94,-137.2"
"-93,135.4"
"-92,-136.6"
"-91,-131.8"
"-90,-130"
"-89,-128.2"
"-88,-126.4"
"-87,-124.6"
"-86,-122.8"
"-85,-121"
"-84,-119.2"
"-83,-117.4"
"-82,-115.6"
"-81,-113.8"
"-80,-112"
"-79,-110.2"
"-78,-108.4"
"-77,-106.2"
"-76,-104.8"
"-75,-103"
"-74,-101,2"
"-73,-99.4"
"-72,-97.6"
"-71,-95.8"
"-70,-94"
"-69,-92.2"
"-68,-90.4"
"-67,-88.6"
"-66,-86.8"
"-65,-85"
"-64,-83.2"
"-63,-81.4"
"-62,-79.6"
"-61,-77.8"
"-60,-76"
"-59,-74.2"
"-58,-72.4"
"-57,-70.6"
"-56,-68.8"
"-55,-67"
"-54,-65.2"
"-53,-63.4"
"-52,-61.6"
"-51,-59.8"
"-50,-58"
"-49,-56.2"
"-48,-54.4"
"-47,-52.6"
"-46,-50.8"
"-45,-49"
"-44,-47.2"
"-43,-45.4"
"-42,-43.6"
"-41,-41.8"
"-40,-40"
"-39,-38.2"
"-38,-36.4"
"-37,-34.6"
"-36,-32.8"
"-35,-31"
"-34,-29.2"
"-33,-27.4"
"-32,-25.6"
"-31,-23.8"
"-30,-22"
"-29,-20.2"
"-28,-18.4"
"-27,-16.6"
"-26,-14.8"
"-25,-13"
"-24,-11.2"
"-23,-9.4"
"-22,-7.6"
"-21,-5.8"
"-20,-4"
"-19,-2.2"
"-18,-0,4"
"-17,-1.4"
"-16,-3.2"
"-15,5"
"-14,6.8"
"-13,8.6"
"-12,10.4"
"-11,12.2"
"-10,14"
"-9,15.8"
"-8,17.6"
"-7,19.4"
"-6,21.2"
"-5,23"
"-4,24.8"
"-3,26.6"
"-2,28.4"
"-1,30.2"
"0,32"
"1,33.8"
"2,35.6"
"3,37.4"
"4,39.2"
"5,41"
"6,42.8"
"7,44.6"
"8,46.4"
"9,48.2"
"10,50"
"11,51.8"
"12,53.6"
"13,55.4"
"14,57.2"
"15,59"
"16,60.8"
"17,62.6"
"18,64.4"
"19,66.2"
"20,68"
"21,69.8"
"22,71.6"
"23,73.4"
"24,75.2"
"25,77"
"26,78.8"
"27,80.6"
"28,82.4"
"29,84.2"
"30,86"
"31,87.8"
"32,89.6"
"33,91.4"
"34,93.2"
"35,95"
"36,96.8"
"37,98.6"
"38,100.4"
"39,102.2"
"40,104"
"41,105.8"
"42,107.6"
"43,109.4"
"44,111.2"
"45,113"
"46,114.8"
"47,116.6"
"48,118.4"
"49,120.2"
"50,122"
"51,123.8"
"52,125.6"
"53,127.4"
"54,129.2"
"55,131"
"56,132.8"
"57,134.6"
"58,136.4"
"59,138.2"
"60,140"
"61,141.8"
"62,143.6"
"63,145.4"
"64,147.2"
"65,149"
"66,150.8"
"67,152.6"
"68,154.4"
"69,156.2"
"70,158"
"71,159.8"
"72,161.6"
"73,163.4"
"74,165.2"
"75,167"
"76,168.8"
"77,170.6"
"78,172.4"
"79,174.2"
"80,176"
"81,177.8"
"82,179.6"
"83,181.4"
"84,183.2"
"85,185"
"86,186.8"
"87,188.6"
"88,190.4"
"89,192.2"
"90,194"
"91,195.8"
"92,197.6"
"93,199.4"
"94,201.2"
"95,203"
"96,204.8"
"97,206.6"
"98,208.4"
"99,210.2"
"100,212"